# gpstime BSN BCI f_mean f_median hrss_mean hrss_median Q_mean Q_median
1.129257192059999943e+09 8.062998000000000332e+00 2.552000000000000046e+00 4.421232941599819242e+02 4.405318011351894825e+02 7.598296122607928628e-23 7.710060936234572697e-23 7.390565175421493826e+00 6.767154724872739280e+00
1.130859728150000095e+09 6.927888000000000268e+00 3.087000000000000188e+00 1.656674892253264773e+02 1.657993907066719999e+02 4.464758678103561803e-23 4.249288884781096249e-23 2.757859642642046083e+01 2.516402535187364720e+01
1.131369308950000048e+09 9.963820999999999373e+00 4.644000000000000128e+00 5.990855192033935737e+02 5.990001574722964506e+02 6.352158341770387999e-23 5.828923804962605284e-23 6.086646053866397210e+01 5.901768105054109981e+01
1.132121022990000010e+09 1.065979300000000052e+01 4.044999999999999929e+00 1.800789394434509916e+02 1.801403208445825044e+02 5.295574058513337607e-23 4.834930443308874215e-23 4.169285026629103186e+01 3.975278587412284992e+01
1.132177121339999914e+09 9.225510999999999129e+00 5.536999999999999922e+00 6.842270782612529274e+02 6.842092746998970370e+02 6.767579721587620352e-23 6.719352767103162752e-23 4.989575191530810372e+01 4.868894096208960320e+01
1.132976561549999952e+09 4.165174999999999628e+00 2.588999999999999968e+00 6.820128355772932309e+02 6.755093054243310462e+02 4.906385685038486849e-23 4.630529412035070775e-23 4.953996845715789910e+00 3.676027550769350061e+00
1.133373582509999990e+09 9.073415999999999926e+00 5.410999999999999588e+00 8.633450372968673037e+02 8.633698854877310396e+02 7.611684842291796740e-23 6.923246243333509214e-23 7.067876889202939594e+01 6.994838763038779916e+01
1.134339350059999943e+09 1.217111099999999979e+01 6.565999999999999837e+00 4.552319573674917024e+02 4.553796517217219844e+02 6.127680307383111099e-23 5.720073780072248710e-23 2.182967548946281156e+01 2.149130383961420065e+01
1.134826952640000105e+09 9.404204999999999259e+00 5.059000000000000163e+00 6.984023309697719242e+02 6.976844572241060405e+02 8.491035813182256188e-23 7.482156178668358576e-23 6.565260515777286976e+00 6.277851182697020249e+00
1.136450321769999981e+09 3.328432999999999975e+00 1.243999999999999995e+00 6.122747673266627544e+02 6.309195877487529742e+02 5.097776450639748956e-23 4.894409430829958139e-23 1.638780573950885966e+01 3.950170067158179865e+00
1.136503446410000086e+09 1.324646500000000060e+01 6.394000000000000128e+00 2.173154287640071516e+02 2.172762589306580026e+02 4.402498504284346583e-23 4.090885845454814650e-23 3.282794294903465726e+01 3.194467113119290147e+01
1.137235271579999924e+09 1.162755999999999901e+00 4.630000000000000226e-01 6.453015809107939731e+02 8.501485049778209486e+02 5.150627382919426780e-23 4.926848338141333077e-23 6.509953178826201281e+01 7.131414669872660284e+01
1.137235785000000000e+09 1.328807199999999966e+01 7.349999999999999645e+00 5.705940848273617121e+02 5.706028751262080050e+02 6.333983782766327384e-23 6.353288771414871380e-23 8.501940476697275528e+01 8.459836868527040110e+01
1.126658559170000076e+09 1.064442900000000058e+01 4.918000000000000149e+00 5.284709701070786423e+02 5.282413081186240333e+02 6.369907857229726813e-23 5.950022598927198391e-23 3.291619667801685267e+01 3.112756484719599825e+01
1.126837861509999990e+09 1.133755200000000052e+01 3.134999999999999787e+00 6.714578124605515086e+02 6.719525556031790074e+02 1.042343569482174914e-22 1.033495271872974259e-22 4.904363659099730377e+00 4.766587022674490193e+00
1.126869201619999886e+09 1.414273700000000034e+01 5.677999999999999936e+00 8.074791075638930806e+02 8.023414379811219987e+02 1.038005872594890170e-22 9.767715470411968169e-23 3.292213229203496017e+00 3.220106509257059990e+00
1.127040323660000086e+09 4.100286999999999793e+00 1.749000000000000110e+00 3.516106407493011261e+02 3.358253249016700011e+02 6.590239004909739628e-23 6.403878184489573769e-23 9.956338431021336532e+00 6.268959677188594704e+00
1.127265008319999933e+09 8.656402999999999182e+00 5.767999999999999794e+00 7.229982429861061064e+02 7.228713881136379769e+02 9.026127339589644668e-23 8.646733332945541734e-23 1.346431431625761554e+01 1.314815496929900007e+01
1.127795647579999924e+09 1.522512799999999977e+01 5.429999999999999716e+00 1.097254267557093641e+02 1.104054427090899964e+02 6.111495207298279436e-23 5.874284914486798522e-23 5.660502719168074570e+00 5.529262015112990092e+00
1.129623602789999962e+09 9.116346999999999312e+00 6.469999999999999751e+00 7.861287481272167952e+02 7.854874407910499485e+02 7.092881593533493075e-23 6.972793207577701330e-23 8.699546736252854018e+00 8.532212525744240494e+00
1.130077888650000095e+09 1.873907000000000167e+01 1.059999999999999970e-01 1.134164200112184062e+02 1.130865399688530033e+02 5.577298729345222308e-23 5.324564836145188438e-23 2.212518920627773156e+01 2.069274874397270025e+01
1.130793089240000010e+09 9.737012000000000000e+00 5.722999999999999865e+00 4.822294989892121748e+02 4.821333817585399970e+02 5.654375126371903913e-23 5.201313244770990491e-23 8.445677164294080796e+01 8.543225839057694770e+01
1.130895213089999914e+09 1.027542599999999950e+01 4.091999999999999638e+00 5.213799572969567180e+02 5.214898795468640174e+02 6.426192832661342924e-23 5.971176429820788168e-23 5.384713684804700051e+01 5.099667336286449881e+01
1.131408330819999933e+09 7.588271999999999906e+00 4.599999999999999645e+00 8.244738134119209008e+02 8.210884525597559787e+02 1.071883523512239934e-22 1.003358763375142520e-22 4.201163809426108564e+00 3.602058392068680170e+00
1.131638702369999886e+09 1.130292000000000030e+01 5.834999999999999964e+00 2.908897835710505433e+02 2.913875567943505303e+02 5.345008752516846707e-23 5.065586626354568240e-23 7.618572680886599002e+00 7.449377533722285172e+00
1.132126764069999933e+09 1.211811400000000027e+01 5.668000000000000149e+00 6.479952370041340828e+02 6.479820874549084238e+02 7.636443174466462234e-23 7.158336498998938381e-23 5.120856029253210551e+01 5.019175282989300513e+01
1.132800429900000095e+09 8.961608999999999270e+00 3.455000000000000071e+00 7.016787692595288490e+02 7.027615440836980270e+02 7.459110107721354561e-23 6.845977928303306807e-23 3.597071853448279288e+00 3.520802127907019852e+00
1.133298255029999971e+09 1.169996399999999959e+01 6.948999999999999844e+00 4.780616202846432543e+02 4.789400006644580117e+02 5.772851955782754226e-23 5.793054952951559273e-23 7.050151328045483723e+00 6.910630464180029797e+00
1.133779943079999924e+09 1.707715000000000094e+00 4.610000000000000209e-01 4.962432142847547425e+02 6.486033564752935945e+02 4.714943851202503554e-23 4.133872796122271993e-23 4.980211134846306464e+01 4.756426468901339888e+01
1.134161229930000067e+09 2.312206999999999901e+00 7.289999999999999813e-01 3.303072793222937094e+02 1.746325120903840116e+02 4.244652759788465234e-23 3.939598059003447204e-23 6.672598905738325925e+01 6.876108604337970576e+01
1.134398481450000048e+09 1.266983500000000085e+01 4.458999999999999631e+00 4.430708513240306843e+02 4.429342593412549718e+02 5.706466044427301088e-23 5.465365205870086624e-23 8.951558597517072613e+00 8.686647444682609631e+00
1.134810950589999914e+09 6.047996999999999623e+00 4.722000000000000419e+00 4.306222330537599419e+02 4.295271475833404793e+02 4.934686753499677276e-23 4.776042226675575690e-23 1.380470808427980778e+01 1.307626075790165032e+01
1.135183920089999914e+09 5.707658999999999594e+00 3.358000000000000096e+00 1.131048802558965178e+02 1.112741541409340016e+02 4.414654535770429653e-23 4.203282983452274538e-23 1.952130585389551953e+01 1.874908265287259823e+01
1.135830881619999886e+09 1.651890999999999998e+00 2.630000000000000115e-01 7.087631861266411306e+02 7.493442323140069448e+02 5.309317544095594007e-23 5.055042431016112045e-23 3.044820318059430519e+01 1.782906644422000042e+01
1.126079495809999943e+09 3.358067000000000135e+00 1.229999999999999982e+00 9.320209045978223230e+02 9.809474909113205285e+02 5.187695500653338224e-23 4.828963021765682135e-23 5.112991219335054183e+01 5.283529750556175486e+01
1.127128289460000038e+09 9.222920999999999481e+00 6.480000000000000426e+00 3.753336109214564544e+02 3.743210045460374999e+02 4.810490893470478303e-23 4.670297396484885414e-23 6.995240676437384231e+00 6.695073893002380316e+00
1.127704984740000010e+09 8.127062000000000452e+00 3.487000000000000099e+00 1.730145922679481600e+02 1.733548541935720095e+02 4.536129974304894869e-23 4.356745603552802375e-23 8.204163979094021286e+00 7.902624157133690375e+00
1.128223321440000057e+09 6.626011000000000095e+00 3.451000000000000068e+00 3.851188885212361015e+02 3.837544263370330100e+02 5.176506801663213956e-23 4.878878570277379187e-23 3.994001721136049454e+00 3.278989331420199882e+00
1.128272301240000010e+09 1.427658199999999944e+01 7.336999999999999744e+00 7.097148007094608602e+02 7.096728045201759869e+02 6.745315965841000056e-23 6.948441640936948322e-23 2.115937689016941903e+01 2.082934398654419894e+01
1.128650570930000067e+09 1.453624800000000050e+01 5.456000000000000405e+00 2.000989097654224622e+02 2.000988630913025190e+02 4.874381212909881012e-23 4.557804111419649894e-23 1.888006931975929703e+01 1.855727874420459855e+01
1.129008513930000067e+09 8.767065000000000552e+00 5.839000000000000412e+00 4.423836939458340112e+02 4.418356109279590100e+02 5.244589183793918653e-23 4.701281161649423675e-23 8.139282601483347435e+01 8.110844935332920613e+01
1.130062572099999905e+09 3.342546000000000017e+00 1.197000000000000064e+00 1.995041789449709313e+02 1.606764142128334925e+02 4.536226909500316452e-23 4.330929646749718161e-23 4.050601258738781496e+01 3.912240480422565270e+01
1.130522163819999933e+09 5.604866999999999599e+00 2.579000000000000181e+00 1.444229360184518782e+02 1.277019277275250033e+02 4.091110415142033133e-23 3.882483387913073680e-23 7.010614338421938818e+00 5.887529610472419961e+00
1.130774025119999886e+09 1.172294899999999984e+01 3.210999999999999854e+00 5.533809883715280193e+02 5.533054526459079625e+02 5.929010478644129916e-23 5.518027190449861037e-23 4.170506195693255336e+01 3.981994822329200190e+01
1.132077653890000105e+09 8.070800000000000196e-01 1.099999999999999936e-02 6.480917316614400079e+02 8.145977785540360401e+02 4.295744913576893608e-23 4.135483588207047140e-23 5.285765765773312808e+01 5.726057145301639650e+01
1.132776850369999886e+09 5.498183000000000042e+00 2.890000000000000124e+00 5.335724839018816965e+02 5.382635760024639922e+02 8.339802918440109573e-23 8.193761191434834911e-23 1.414113734959693325e+01 1.233825761749060135e+01
1.132933634700000048e+09 4.055180000000000007e+00 6.790000000000000480e-01 1.526222493202667181e+02 1.185782383619510085e+02 4.291325727186463370e-23 3.931946633303237668e-23 4.206948196817823771e+01 4.011339222672364713e+01
1.134575359079999924e+09 1.068992800000000010e+01 3.660000000000000142e+00 4.405304000149963599e+02 4.402641290527860178e+02 5.142904639365314933e-23 4.859578501447352232e-23 9.413177370995798654e+00 8.858703093865230471e+00
1.135716806599999905e+09 1.384086399999999983e+01 8.563000000000000611e+00 8.109274671105619063e+02 8.086107197137320100e+02 1.111635340539853004e-22 1.110953260546264837e-22 4.759032139731162125e+00 4.619196772706129828e+00
1.135803537599999905e+09 1.150461400000000012e+01 5.602000000000000313e+00 7.311211720383578268e+02 7.309835981854099600e+02 8.005945151273424418e-23 7.365242493761989696e-23 8.500351346912140116e+01 8.597714278325409509e+01
1.135937538529999971e+09 8.869286000000000669e+00 6.693999999999999950e+00 6.647360670077817986e+02 6.656012294094799699e+02 8.207449660764794143e-23 8.260348204989905402e-23 1.033293104882387681e+01 1.021576968420849951e+01
1.137218361740000010e+09 6.892168999999999990e+00 2.388999999999999790e+00 3.730505177170041975e+02 3.726979095621979923e+02 4.959422310104048818e-23 4.766292480336938549e-23 7.062195689932734410e+01 6.954820821505430217e+01
1.127189478390000105e+09 4.920767999999999809e+00 1.566999999999999948e+00 8.432429310513196015e+02 8.437039747428179908e+02 6.684388170358494067e-23 6.316553672088138610e-23 8.235119943580625090e+01 8.474030769955599851e+01
1.127653357450000048e+09 7.253116000000000341e+00 4.121000000000000441e+00 1.579925607403873187e+02 1.571030503901855013e+02 4.288804891271443708e-23 4.022388409714773755e-23 3.839344157151925430e+01 3.665624317772754637e+01
1.128062043819999933e+09 8.675071000000000865e+00 2.069999999999999840e+00 2.574117229090020373e+02 2.576359180408579732e+02 5.162372804527386887e-23 5.076739681982085895e-23 9.462273905304064314e+00 9.108852041382061060e+00
1.128278584119999886e+09 5.863869000000000220e+00 3.509999999999999787e+00 7.220486488833333851e+02 7.212685750883999845e+02 6.041126827729856391e-23 5.972779415472932566e-23 6.180337790008364252e+00 5.211090037847560197e+00
1.128341598329999924e+09 5.393872000000000000e+00 2.874000000000000110e+00 5.334211208329068086e+02 5.339215910953569164e+02 6.012502178350574541e-23 5.523615520891888971e-23 7.662962658184686582e+00 7.114064860719665262e+00
